fold,test_subject,n_test_segments,n_test_stress,accuracy,f1,f1_macro,time_sec,tn,fp,fn,tp
1,1,60,30,0.65,0.72,0.6266666666666667,47.53728890419006,12,18,3,27
2,2,60,30,0.6166666666666667,0.6933333333333334,0.5911111111111111,80.32449245452881,11,19,4,26
3,3,60,35,0.6833333333333333,0.7532467532467533,0.6556931440652372,63.87285232543945,12,13,6,29
4,4,60,30,0.48333333333333334,0.5079365079365079,0.48203842940685043,116.75833654403687,13,17,14,16
5,5,60,30,0.65,0.6956521739130435,0.6419437340153453,41.91544055938721,15,15,6,24
6,6,60,30,0.45,0.5217391304347826,0.4373401534526854,151.44521307945251,9,21,12,18
7,7,60,25,0.45,0.4406779661016949,0.44984717977215893,266.6577363014221,14,21,12,13
8,8,60,30,0.5833333333333334,0.6268656716417911,0.5775837792171219,131.51067447662354,14,16,9,21
9,9,60,40,0.5333333333333333,0.6410256410256411,0.4871794871794872,43.853901624679565,7,13,15,25
10,10,60,35,0.6,0.6571428571428571,0.5885714285714285,39.44945740699768,13,12,12,23
11,11,60,40,0.6666666666666666,0.7872340425531915,0.5090016366612111,42.408381938934326,3,17,3,37
12,12,60,35,0.48333333333333334,0.6436781609195402,0.35214211076280044,60.56550884246826,1,24,7,28
13,13,60,15,0.3,0.4166666666666667,0.27083333333333337,187.35103964805603,3,42,0,15
14,14,60,25,0.5166666666666667,0.6329113924050633,0.46279715961716583,42.24704647064209,6,29,0,25
15,15,60,40,0.7166666666666667,0.8045977011494253,0.6447230929989551,44.28217172622681,8,12,5,35
16,16,60,35,0.4166666666666667,0.5882352941176471,0.29411764705882354,47.453110218048096,0,25,10,25
17,17,60,45,0.6,0.7391304347826086,0.4409937888198757,46.60163855552673,2,13,11,34
18,18,60,45,0.38333333333333336,0.44776119402985076,0.37482399324134047,43.403265953063965,8,7,30,15
19,19,60,25,0.5333333333333333,0.6111111111111112,0.513888888888889,38.582237005233765,10,25,3,22
20,20,60,45,0.5666666666666667,0.6285714285714286,0.5542857142857143,38.31913638114929,12,3,23,22
21,21,60,45,0.75,0.8514851485148515,0.5310057321521626,69.46012496948242,2,13,2,43
22,22,60,45,0.65,0.7692307692307693,0.5225464190981433,45.2448570728302,4,11,10,35
23,23,60,20,0.3333333333333333,0.42857142857142855,0.3142857142857143,39.521336793899536,5,35,5,15
24,24,60,20,0.6,0.5384615384615384,0.5927601809954751,41.73244047164917,22,18,6,14
25,25,60,15,0.38333333333333336,0.2127659574468085,0.35295832118915765,37.90306878089905,18,27,10,5
26,26,60,45,0.38333333333333336,0.39344262295081966,0.38316198944151153,44.05970335006714,11,4,33,12
27,27,60,20,0.5333333333333333,0.5172413793103449,0.5328142380422691,41.297476291656494,17,23,5,15
28,28,60,45,0.6666666666666666,0.7222222222222222,0.6527777777777778,43.041189432144165,14,1,19,26
29,29,60,45,0.65,0.7469879518072289,0.5897101921198307,41.27729773521423,8,7,14,31
30,30,60,45,0.6833333333333333,0.7956989247311828,0.5459976105137395,41.85972833633423,4,11,8,37
31,31,60,35,0.7333333333333333,0.7948717948717948,0.7069597069597069,39.34022784233093,13,12,4,31
32,32,60,20,0.6333333333333333,0.5,0.6052631578947368,41.796046018600464,27,13,9,11
33,33,60,20,0.6833333333333333,0.3870967741935484,0.5868068140630663,220.0711853504181,35,5,14,6
34,34,60,0,0.3,0.0,0.23076923076923078,49.85015654563904,18,42,0,0
35,35,60,30,0.5166666666666667,0.6027397260273972,0.49285922471582627,40.67585206031799,9,21,8,22
36,36,60,40,0.4666666666666667,0.5555555555555556,0.4444444444444444,38.39039063453674,8,12,20,20
37,37,60,35,0.55,0.6493506493506493,0.5107218363032316,42.88900423049927,8,17,10,25
38,38,60,35,0.5166666666666667,0.6329113924050633,0.46279715961716583,37.35878872871399,6,19,10,25
39,39,60,30,0.5833333333333334,0.6753246753246753,0.546964663243733,37.43982529640198,9,21,4,26
40,40,60,35,0.6,0.7391304347826086,0.4409937888198757,39.377036571502686,2,23,1,34
